"STATISTIC","Statistic Label","TLIST(M1)","Month","C01409V03262","Type of Material","UNIT","VALUE"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","65","Structural steel and reinforcing metal","%","5.4"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","651","Structural steel","%","24.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","65161","Other structural steel","%","-28.8"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","65162","Structural steel fabricated metal","%","32"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","652","Reinforcing metal","%","-20.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","653","Other steel products","%","15"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","661","Rough timber (including plain sawn)","%","-22.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","66161","Rough timber (softwood)","%","-22.2"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","66162","Rough timber (hardwood)","%","-21.6"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","671","Machined, treated engineered timber","%","-13.1"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","67161","Other treated timber","%","-31.3"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","67162","Wooden windows and doors","%","13.5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","68","Bituminous macadam, asphalt and bituminous emulsions","%","4.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","681","Bituminous macadam and asphalt","%","5"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","682","Bituminous emulsions","%","-5.7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","691","Electrical fittings","%","7"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","69162","Lighting equipment","%","0"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","69163","Protection and communication equipment","%","13"
"WPM28C03","Percentage Change over 12 month in Wholesale Price Index","202306","2023 June","70","All other materials","%","8.2"
