"STATISTIC","Statistic Label","TLIST(M1)","Month","C02803V03373","Type of Residential Property","UNIT","VALUE"
"HPM09C01","Residential Property Price Index","200511","2005 November","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","03","National excluding Dublin - all residential properties","Base 2015=100","156.3"
"HPM09C01","Residential Property Price Index","200511","2005 November","04","National excluding Dublin - houses","Base 2015=100","153.5"
"HPM09C01","Residential Property Price Index","200511","2005 November","12","National excluding Dublin - apartments","Base 2015=100","207.8"
"HPM09C01","Residential Property Price Index","200511","2005 November","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200511","2005 November","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","-","National - all residential properties","Base 2015=100","140.7"
"HPM09C01","Residential Property Price Index","200512","2005 December","01","National - houses","Base 2015=100","136.5"
"HPM09C01","Residential Property Price Index","200512","2005 December","02","National - apartments","Base 2015=100","166.4"
"HPM09C01","Residential Property Price Index","200512","2005 December","05","Dublin - all residential properties","Base 2015=100","136.2"
"HPM09C01","Residential Property Price Index","200512","2005 December","06","Dublin - houses","Base 2015=100","129.9"
"HPM09C01","Residential Property Price Index","200512","2005 December","07","Dublin - apartments","Base 2015=100","160.1"
"HPM09C01","Residential Property Price Index","200512","2005 December","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","03","National excluding Dublin - all residential properties","Base 2015=100","158.2"
"HPM09C01","Residential Property Price Index","200512","2005 December","04","National excluding Dublin - houses","Base 2015=100","155.3"
"HPM09C01","Residential Property Price Index","200512","2005 December","12","National excluding Dublin - apartments","Base 2015=100","213.2"
"HPM09C01","Residential Property Price Index","200512","2005 December","21","Border - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","14","Midland - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","15","West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","22","Mid-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","23","Mid-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","24","South-East - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200512","2005 December","19","South-West - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","-","National - all residential properties","Base 2015=100","141.4"
"HPM09C01","Residential Property Price Index","200601","2006 January","01","National - houses","Base 2015=100","137.3"
"HPM09C01","Residential Property Price Index","200601","2006 January","02","National - apartments","Base 2015=100","167.8"
"HPM09C01","Residential Property Price Index","200601","2006 January","05","Dublin - all residential properties","Base 2015=100","136.8"
"HPM09C01","Residential Property Price Index","200601","2006 January","06","Dublin - houses","Base 2015=100","130.9"
"HPM09C01","Residential Property Price Index","200601","2006 January","07","Dublin - apartments","Base 2015=100","159.9"
"HPM09C01","Residential Property Price Index","200601","2006 January","08","Dublin City - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","09","Dun Laoghaire-Rathdown - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","10","Fingal - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","11","South Dublin - houses","Base 2015=100",""
"HPM09C01","Residential Property Price Index","200601","2006 January","03","National excluding Dublin - all residential properties","Base 2015=100","159"
"HPM09C01","Residential Property Price Index","200601","2006 January","04","National excluding Dublin - houses","Base 2015=100","156"
"HPM09C01","Residential Property Price Index","200601","2006 January","12","National excluding Dublin - apartments","Base 2015=100","216.3"
"HPM09C01","Residential Property Price Index","200601","2006 January","21","Border - houses","Base 2015=100",""
